frame,slot,orientation,pose_notes,attempt,source_imagegen_path,raw_path,alpha_path,frame_path,promoted_path,holes_filled,hole_area,components_removed_area,status,notes
30,wall_cling_species_action,right-facing side,"climb action eases down, front body lowering, feet still readable",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3daf55767081919191ccc2be31cbea.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-30-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-30-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-30.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-30.png,1,171,0,promoted_accepted_set00,internal_alpha_holes_filled=1
31,wall_cling_species_action,right-facing side,"returns to ground stance, low body and complete tail",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3daf8656a48191b05d67d71a715166.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-31-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-31-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-31.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-31.png,0,0,0,promoted_accepted_set00,
32,turn,three-quarter right,"turn phase start, head begins rotating toward viewer, body still mostly right-facing",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3dafbdab548191a6e5c864f19a5acf.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-32-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-32-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-32.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-32.png,0,0,0,promoted_accepted_set00,
33,turn,front-right three-quarter,"turn phase, shoulders rotate toward viewer, wider chest, both eyes subtly implied but single head only",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3daffa0af08191a8c23e77946a7445.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-33-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-33-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-33.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-33.png,0,0,0,promoted_accepted_set00,
34,turn,near-front/top three-quarter,"turn phase midpoint, compact top-down-leaning gecko silhouette, head centered, one face only",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3db03259648191ba1f9641ed4c2443.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-34-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-34-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-34.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-34.png,0,0,0,promoted_accepted_set00,
35,turn,front-right three-quarter,"turn phase continuing, head starts turning back toward right, tail arcs smoothly",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3db06b00808191a6ba09e95d748502.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-35-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-35-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-35.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-35.png,0,0,0,promoted_accepted_set00,
36,turn,three-quarter right,"turn phase, body rolls back into right-facing side view, feet reconnect to baseline",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3db09595c08191a1865e63513d4273.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-36-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-36-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-36.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-36.png,0,0,0,promoted_accepted_set00,
37,turn,right-facing side,"right-facing side restored, tail still finishing the turn arc",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3db0c546ac8191a3daf588b89feadb.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-37-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-37-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-37.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-37.png,1,15,0,promoted_accepted_set00,internal_alpha_holes_filled=1
38,turn,right-facing side,"small follow-through, head checks forward, body low and stable",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_00a58237dc671f13016a3db1283e6881918472ceb9c50637ce.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-38-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-38-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-38.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-38.png,0,0,0,promoted_accepted_set00,
39,turn,right-facing side,turn slot resolves in neutral right-facing stance,01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_00a58237dc671f13016a3db15002f88191a0653761a1c696b7.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-39-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-39-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-39.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-39.png,0,0,0,promoted_accepted_set00,
40,chew_eat,right-facing side,"chew/eat pose, tiny mouth motion suggested, head slightly tucked, no food object",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_00a58237dc671f13016a3db178b4648191b602e23916b090fe.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-40-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-40-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-40.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-40.png,0,0,0,promoted_accepted_set00,
41,chew_eat,right-facing side,"chewing continues, cheek/mouth line changed subtly, front feet braced",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_00a58237dc671f13016a3db1b17f908191b7e3ef4dd180979d.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-41-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-41-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-41.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-41.png,0,0,0,promoted_accepted_set00,
42,chew_eat,right-facing side,"small swallow, head tilts up a little, body remains compact",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_00a58237dc671f13016a3db1e7dc888191a5aeec83ae2bb5b9.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-42-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-42-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-42.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-42.png,0,0,0,promoted_accepted_set00,
43,chew_eat,right-facing side,"chew slot resolves, mouth closed, neutral stance",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_00a58237dc671f13016a3db216cbf0819197d2d7cf2f287ef3.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-43-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-43-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-43.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-43.png,0,0,0,promoted_accepted_set00,
44,ground_check,right-facing side,"ground check, one forefoot pats the ground, nose lowered, tail steady",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_00a58237dc671f13016a3db24965ac8191bb8b954eb19377f2.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-44-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-44-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-44.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-44.png,0,0,182,promoted_accepted_set00,detached_component_area_removed=182
45,ground_check,right-facing side,"ground check, head tracks along baseline, body stretched forward",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_00a58237dc671f13016a3db2803be88191bfbc5a64153fcb43.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-45-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-45-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-45.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-45.png,1,3,0,promoted_accepted_set00,internal_alpha_holes_filled=1
46,ground_check,right-facing side,"ground check, hind legs shift slightly, belly low, toes connected",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_00a58237dc671f13016a3db2bd7a5c819195b160825d247ed0.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-46-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-46-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-46.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-46.png,0,0,0,promoted_accepted_set00,
47,ground_check,right-facing side,"ground check resolves, head returns forward, all feet planted",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_00a58237dc671f13016a3db2f5ff288191aef12ac84bd4f178.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-47-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-47-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-47.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-47.png,1,15,0,promoted_accepted_set00,internal_alpha_holes_filled=1
48,alert_rest,right-facing side,"alert rest, body freezes, head high, eye bright, tail still",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_00a58237dc671f13016a3db3272aec81919d35fbd1cab7873a.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-48-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-48-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-48.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-48.png,0,0,0,promoted_accepted_set00,
49,alert_rest,right-facing side,"alert rest, chest lifted higher, front legs straightened slightly",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_00a58237dc671f13016a3db3646ba081919e9ff3d34fe6fcd5.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-49-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-49-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-49.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-49.png,0,0,0,promoted_accepted_set00,
50,alert_rest,right-facing side,"brief upright alert lean without standing fully, all feet remain attached",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_00a58237dc671f13016a3db39f73248191b2e0969e6f4c498e.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-50-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-50-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-50.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-50.png,1,1728,0,promoted_accepted_set00,internal_alpha_holes_filled=1
51,alert_rest,right-facing side,"relaxes back down from alert, body lowers smoothly",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_00a58237dc671f13016a3db3cf40148191a632cab0045816a7.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-51-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-51-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-51.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-51.png,2,618,0,promoted_accepted_set00,internal_alpha_holes_filled=2
52,face_groom,right-facing side,"face groom start, near front foot lifts toward snout as one connected rounded paw",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_00a58237dc671f13016a3db40d2cd08191bc88fdcc38e7242b.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-52-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-52-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-52.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-52.png,1,526,0,promoted_accepted_set00,internal_alpha_holes_filled=1
53,face_groom,right-facing side,"front foot touches snout, head dips, one face only, no detached paw",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_00a58237dc671f13016a3db44452588191a003fbe3aaea06f4.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-53-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-53-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-53.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-53.png,1,38,0,promoted_accepted_set00,internal_alpha_holes_filled=1
54,face_groom,right-facing side,"small wiping motion across face, paw connected, tail calm",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0f2b089daa00e835016a3db4b476188191982948b2af0e0c9a.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-54-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-54-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-54.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-54.png,1,71,0,promoted_accepted_set00,internal_alpha_holes_filled=1
55,face_groom,right-facing side,"groom resolves, paw returns to ground, head forward",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0f2b089daa00e835016a3db4e2d94c81918f394f91a1636230.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-55-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-55-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-55.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-55.png,0,0,0,promoted_accepted_set00,
56,reaction_recover,right-facing side,"reaction start, quick flinch, head pulls back, tail flicks upward",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0f2b089daa00e835016a3db51eabfc81919871dcdbd504741d.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-56-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-56-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-56.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-56.png,0,0,0,promoted_accepted_set00,
57,reaction_recover,right-facing side,"reaction peak, body arches slightly, feet still attached, tail high curve",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0f2b089daa00e835016a3db549f54481919491822ab6d83a13.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-57-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-57-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-57.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-57.png,0,0,0,promoted_accepted_set00,
58,reaction_recover,right-facing side,"recovering, body lengthens forward, tail lowering",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0f2b089daa00e835016a3db56e86c88191bb003e89719777fa.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-58-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-58-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-58.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-58.png,0,0,0,promoted_accepted_set00,
59,reaction_recover,right-facing side,"settling, head returns to normal, feet spread to stable stance",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0f2b089daa00e835016a3db5a50f188191b3a70989f406a00b.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-59-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-59-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-59.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-59.png,0,0,0,promoted_accepted_set00,
60,reaction_recover,right-facing side,"nearly neutral, tiny tail-tip flick remains",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0f2b089daa00e835016a3db5d7ac688191a6d509c834fdcbee.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-60-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-60-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-60.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-60.png,0,0,0,promoted_accepted_set00,
61,reaction_recover,right-facing side,"fully recovered neutral gecko, matches frame 00 silhouette closely",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0f2b089daa00e835016a3db609dfc881918e17a3ad250b3801.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-61-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-61-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-61.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-61.png,2,27,0,promoted_accepted_set00,internal_alpha_holes_filled=2
